Month,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
Jun,Chevrolet,Rural,Saturday,0,4,Female,Single,38,Policy Holder,Sedan - All Perils,Utility,less than 20000,39913,9,500,1,none,15 to 30,none,3 years,51 to 65,No,No,External,1 to 2,2 to 3 years,1 vehicle,Collision
Aug,Honda,Urban,Tuesday,Jan,5,Male,Divorced,76,Third Party,Utility - Collision,Sedan,60000 to 69000,74049,6,400,1,none,15 to 30,more than 4,2 years,16 to 17,Yes,Yes,Internal,3 to 5,4 to 8 years,more than 8,All Perils
Jan,Mecedes,Urban,Monday,Jun,2,Female,Married,56,Policy Holder,Utility - All Perils,Sport,30000 to 39000,78147,9,300,4,more than 30,more than 30,1,6 years,41 to 50,Yes,Yes,Internal,more than 5,4 to 8 years,1 vehicle,Liability
Jun,Mecedes,Urban,Wednesday,Jul,3,Female,Married,32,Third Party,Sport - Collision,Utility,20000 to 29000,72012,9,400,2,15 to 30,more than 30,more than 4,5 years,16 to 17,No,No,Internal,more than 5,2 to 3 years,1 vehicle,Collision
Jan,Nisson,Rural,Tuesday,Oct,3,Female,Widow,37,Policy Holder,Utility - Liability,Sport,20000 to 29000,79837,8,400,1,15 to 30,more than 30,2 to 4,4 years,16 to 17,Yes,No,Internal,1 to 2,2 to 3 years,more than 8,Collision
Dec,Ford,Urban,Tuesday,Oct,2,Male,Divorced,21,Policy Holder,Sport - Liability,Sedan,30000 to 39000,37583,5,500,4,15 to 30,none,2 to 4,3 years,51 to 65,No,No,Internal,3 to 5,2 to 3 years,3 to 4,Liability
Aug,Porche,Urban,Wednesday,Jan,3,Female,Married,76,Policy Holder,Sport - All Perils,Utility,40000 to 59000,78178,5,700,3,15 to 30,8 to 15,2 to 4,6 years,41 to 50,Yes,No,External,none,1 year,more than 8,Collision
Jul,Saab,Rural,Saturday,Sep,2,Male,Divorced,31,Policy Holder,Sport - Collision,Utility,60000 to 69000,63031,1,500,3,none,more than 30,more than 4,7 years,31 to 35,No,Yes,External,3 to 5,2 to 3 years,more than 8,All Perils
Feb,Mercury,Urban,Friday,Aug,5,Female,Widow,31,Third Party,Utility - Collision,Sport,40000 to 59000,36947,3,500,3,none,15 to 30,more than 4,more than 7,41 to 50,Yes,No,External,3 to 5,2 to 3 years,5 to 8,All Perils
Jan,Honda,Rural,Sunday,Nov,5,Female,Single,54,Policy Holder,Sport - Collision,Utility,20000 to 29000,43637,2,400,4,1 to 7,15 to 30,1,3 years,18 to 20,No,Yes,External,3 to 5,2 to 3 years,more than 8,Collision
Aug,VW,Rural,Thursday,Jun,2,Male,Married,59,Policy Holder,Sport - Liability,Sport,40000 to 59000,12460,4,300,1,1 to 7,8 to 15,none,2 years,16 to 17,Yes,No,External,1 to 2,under 6 months,3 to 4,Liability
Aug,Mercury,Urban,Tuesday,Jun,1,Female,Widow,22,Policy Holder,Sedan - All Perils,Utility,less than 20000,22113,5,700,3,15 to 30,more than 30,none,new,18 to 20,No,No,External,more than 5,no change,3 to 4,All Perils
Jan,BMW,Rural,Friday,Sep,3,Male,Married,57,Policy Holder,Utility - Collision,Sedan,60000 to 69000,25832,4,500,1,15 to 30,more than 30,none,more than 7,31 to 35,Yes,No,External,none,4 to 8 years,5 to 8,Liability
Aug,Mecedes,Rural,Saturday,Sep,1,Male,Widow,75,Policy Holder,Utility - All Perils,Sedan,60000 to 69000,25693,5,300,2,more than 30,none,more than 4,4 years,16 to 17,No,Yes,Internal,none,under 6 months,1 vehicle,All Perils
Aug,VW,Rural,Tuesday,Sep,3,Female,Divorced,31,Third Party,Sedan - All Perils,Sport,more than 69000,74222,3,700,4,none,more than 30,more than 4,7 years,41 to 50,Yes,Yes,External,3 to 5,1 year,more than 8,Liability
Apr,Lexus,Urban,Tuesday,Jan,4,Female,Widow,51,Third Party,Sport - Liability,Sedan,less than 20000,11158,2,500,3,more than 30,8 to 15,more than 4,2 years,31 to 35,No,No,Internal,1 to 2,2 to 3 years,2 vehicles,Liability
Nov,Nisson,Rural,Monday,Jul,3,Female,Divorced,77,Third Party,Sport - Liability,Utility,less than 20000,63450,1,300,1,none,15 to 30,1,more than 7,21 to 25,Yes,No,Internal,1 to 2,2 to 3 years,more than 8,All Perils
Aug,Mercury,Rural,Wednesday,Jul,5,Male,Widow,55,Policy Holder,Sport - Collision,Utility,more than 69000,65843,8,400,1,15 to 30,15 to 30,2 to 4,new,16 to 17,Yes,No,External,none,2 to 3 years,1 vehicle,All Perils
Jan,BMW,Rural,Friday,Dec,1,Male,Single,34,Policy Holder,Utility - All Perils,Sedan,60000 to 69000,38442,1,500,1,more than 30,more than 30,more than 4,more than 7,over 65,No,Yes,Internal,more than 5,2 to 3 years,1 vehicle,All Perils
Oct,VW,Rural,Wednesday,Mar,4,Male,Widow,60,Policy Holder,Utility - Liability,Sedan,20000 to 29000,59586,8,300,3,8 to 15,more than 30,1,more than 7,41 to 50,No,No,External,none,1 year,2 vehicles,All Perils
Jul,BMW,Rural,Thursday,Feb,5,Male,Widow,38,Policy Holder,Sedan - Liability,Sedan,less than 20000,40879,5,400,1,8 to 15,none,2 to 4,7 years,41 to 50,Yes,Yes,External,3 to 5,1 year,more than 8,All Perils
Nov,Saturn,Rural,Saturday,May,3,Male,Single,38,Third Party,Sport - All Perils,Sport,20000 to 29000,55227,8,500,4,15 to 30,15 to 30,more than 4,2 years,41 to 50,No,No,Internal,more than 5,2 to 3 years,1 vehicle,Liability
Jan,Toyota,Rural,Wednesday,Jun,4,Male,Single,76,Policy Holder,Utility - Liability,Utility,40000 to 59000,70705,6,500,3,15 to 30,none,2 to 4,2 years,41 to 50,Yes,No,Internal,more than 5,no change,1 vehicle,All Perils
Nov,Jaguar,Urban,Tuesday,Jun,4,Male,Divorced,18,Third Party,Utility - All Perils,Utility,20000 to 29000,73153,6,300,1,none,15 to 30,none,6 years,31 to 35,Yes,No,Internal,3 to 5,2 to 3 years,2 vehicles,Liability
Mar,Toyota,Rural,Friday,Jul,2,Female,Widow,64,Policy Holder,Sport - Collision,Sedan,40000 to 59000,85113,5,400,3,15 to 30,more than 30,more than 4,2 years,21 to 25,Yes,Yes,External,3 to 5,1 year,5 to 8,Liability
May,Saturn,Urban,0,0,4,Female,Married,74,Third Party,Sedan - Collision,Sedan,60000 to 69000,60818,8,700,2,none,15 to 30,1,7 years,51 to 65,Yes,Yes,External,3 to 5,no change,3 to 4,Liability
Apr,Nisson,Urban,Tuesday,Oct,1,Male,Widow,78,Policy Holder,Sedan - All Perils,Sport,30000 to 39000,75311,1,500,2,none,none,1,more than 7,21 to 25,No,Yes,External,more than 5,4 to 8 years,5 to 8,Collision
Aug,Mecedes,Rural,0,Jan,5,Male,Divorced,26,Third Party,Sedan - All Perils,Sedan,20000 to 29000,41597,7,400,1,8 to 15,8 to 15,none,4 years,18 to 20,Yes,Yes,External,more than 5,under 6 months,2 vehicles,Collision
Jan,BMW,Rural,Sunday,Oct,4,Male,Divorced,54,Third Party,Sport - Collision,Utility,60000 to 69000,61448,8,500,1,none,8 to 15,1,3 years,51 to 65,Yes,No,External,more than 5,2 to 3 years,5 to 8,Collision
Apr,Porche,Rural,Thursday,Jul,5,Male,Divorced,26,Third Party,Sedan - All Perils,Utility,60000 to 69000,53999,1,400,3,8 to 15,15 to 30,1,5 years,36 to 40,Yes,Yes,External,more than 5,no change,2 vehicles,Liability
Dec,Accura,Rural,0,Sep,1,Male,Married,54,Third Party,Sport - All Perils,Sedan,30000 to 39000,23319,6,700,3,15 to 30,15 to 30,more than 4,5 years,41 to 50,No,Yes,Internal,1 to 2,4 to 8 years,1 vehicle,Liability
Feb,Jaguar,Rural,Friday,Dec,1,Female,Divorced,33,Third Party,Sport - Collision,Sport,less than 20000,71644,8,700,2,8 to 15,15 to 30,none,4 years,51 to 65,No,Yes,External,more than 5,2 to 3 years,3 to 4,All Perils
Oct,Nisson,Rural,Monday,Apr,1,Female,Single,40,Third Party,Sedan - Liability,Utility,more than 69000,28915,3,500,3,1 to 7,more than 30,more than 4,3 years,21 to 25,Yes,No,External,none,4 to 8 years,2 vehicles,All Perils
Apr,Porche,Rural,Monday,Jan,1,Male,Widow,36,Policy Holder,Sport - Liability,Utility,30000 to 39000,46667,9,300,1,none,more than 30,2 to 4,more than 7,16 to 17,No,Yes,Internal,1 to 2,2 to 3 years,3 to 4,Collision
Jan,Porche,Urban,Tuesday,Oct,3,Female,Single,23,Third Party,Sedan - All Perils,Sport,more than 69000,40755,8,300,1,15 to 30,15 to 30,none,5 years,31 to 35,No,No,Internal,3 to 5,4 to 8 years,2 vehicles,Collision
Oct,Nisson,Rural,Saturday,0,3,Male,Married,20,Policy Holder,Sport - All Perils,Sedan,less than 20000,96019,8,400,4,1 to 7,more than 30,1,3 years,21 to 25,Yes,No,Internal,more than 5,under 6 months,3 to 4,Collision
Feb,Lexus,Rural,Monday,Apr,3,Female,Widow,73,Third Party,Utility - All Perils,Sport,60000 to 69000,56783,9,700,3,none,none,1,3 years,21 to 25,No,Yes,Internal,3 to 5,1 year,3 to 4,Collision
Mar,Saab,Rural,Thursday,0,4,Male,Married,36,Policy Holder,Utility - Liability,Utility,more than 69000,37321,5,300,2,15 to 30,none,2 to 4,new,18 to 20,No,Yes,Internal,more than 5,4 to 8 years,5 to 8,Collision
Oct,Toyota,Urban,Thursday,Jul,5,Female,Divorced,34,Policy Holder,Sedan - Collision,Utility,40000 to 59000,41849,3,300,4,1 to 7,8 to 15,none,2 years,31 to 35,Yes,No,External,3 to 5,no change,2 vehicles,All Perils
May,VW,Rural,Sunday,Dec,2,Female,Divorced,54,Third Party,Sport - All Perils,Sedan,20000 to 29000,68315,1,700,1,none,more than 30,2 to 4,2 years,over 65,Yes,Yes,Internal,3 to 5,under 6 months,2 vehicles,Liability
Aug,Lexus,Urban,Thursday,Oct,4,Female,Widow,44,Policy Holder,Sedan - All Perils,Utility,30000 to 39000,93941,3,300,2,none,none,1,more than 7,31 to 35,No,Yes,Internal,none,no change,3 to 4,All Perils
Sep,Toyota,Rural,Sunday,Nov,4,Male,Divorced,69,Policy Holder,Utility - Liability,Sport,less than 20000,51315,9,500,1,more than 30,none,2 to 4,more than 7,21 to 25,Yes,Yes,Internal,more than 5,4 to 8 years,more than 8,Collision
May,Ferrari,Urban,Tuesday,Jan,1,Male,Married,26,Third Party,Sedan - Liability,Sport,20000 to 29000,91764,7,300,4,8 to 15,none,none,6 years,21 to 25,No,No,Internal,3 to 5,2 to 3 years,3 to 4,All Perils
Nov,VW,Urban,Monday,May,5,Female,Widow,49,Third Party,Sedan - Collision,Sedan,20000 to 29000,72084,2,400,2,1 to 7,more than 30,1,2 years,51 to 65,No,Yes,External,1 to 2,1 year,5 to 8,Collision
Oct,Saab,Rural,Friday,Jun,1,Male,Divorced,74,Third Party,Sedan - All Perils,Utility,40000 to 59000,27486,2,700,2,more than 30,15 to 30,2 to 4,new,51 to 65,Yes,No,External,more than 5,1 year,2 vehicles,Liability
Nov,Saturn,Rural,0,May,5,Female,Single,72,Policy Holder,Sedan - Collision,Utility,60000 to 69000,17807,9,300,4,1 to 7,none,none,more than 7,36 to 40,No,Yes,Internal,3 to 5,2 to 3 years,1 vehicle,Collision
Jan,Mecedes,Rural,Thursday,Nov,3,Female,Married,25,Third Party,Sedan - All Perils,Sport,more than 69000,72450,8,700,2,8 to 15,none,1,4 years,41 to 50,No,No,Internal,3 to 5,1 year,3 to 4,All Perils
May,Lexus,Urban,Monday,Jun,2,Female,Widow,28,Third Party,Sport - All Perils,Sedan,60000 to 69000,53654,7,700,3,15 to 30,8 to 15,more than 4,3 years,31 to 35,Yes,No,External,none,2 to 3 years,3 to 4,Liability
Mar,VW,Urban,Wednesday,Oct,5,Male,Widow,72,Policy Holder,Utility - All Perils,Sedan,less than 20000,75675,5,700,1,15 to 30,15 to 30,none,new,26 to 30,No,No,Internal,none,1 year,5 to 8,Liability
Dec,Mecedes,Urban,Thursday,Feb,2,Male,Divorced,16,Policy Holder,Sedan - Liability,Sport,less than 20000,17304,5,700,1,15 to 30,none,none,4 years,18 to 20,No,Yes,External,more than 5,2 to 3 years,5 to 8,Collision
Feb,Dodge,Rural,Wednesday,0,1,Female,Single,16,Policy Holder,Sedan - All Perils,Sedan,60000 to 69000,91270,1,300,2,1 to 7,15 to 30,1,more than 7,21 to 25,Yes,Yes,Internal,3 to 5,under 6 months,3 to 4,All Perils
Oct,Porche,Urban,Tuesday,Mar,5,Male,Single,18,Third Party,Sport - Collision,Sedan,30000 to 39000,20536,2,300,2,none,8 to 15,more than 4,7 years,over 65,No,Yes,External,more than 5,1 year,2 vehicles,Collision
Jun,Jaguar,Urban,Thursday,Apr,3,Female,Single,0,Policy Holder,Utility - All Perils,Sedan,30000 to 39000,54627,3,500,3,8 to 15,8 to 15,2 to 4,3 years,21 to 25,No,Yes,Internal,1 to 2,under 6 months,5 to 8,All Perils
Sep,BMW,Urban,Saturday,Oct,2,Female,Single,53,Third Party,Sedan - Liability,Utility,30000 to 39000,12674,4,700,1,none,more than 30,more than 4,5 years,21 to 25,No,No,External,more than 5,1 year,1 vehicle,Collision
Jul,Mecedes,Urban,Thursday,Oct,5,Female,Divorced,32,Policy Holder,Sedan - All Perils,Utility,60000 to 69000,57879,8,400,2,8 to 15,none,1,3 years,21 to 25,No,Yes,Internal,more than 5,2 to 3 years,1 vehicle,Collision
Jun,Lexus,Rural,Saturday,Nov,4,Female,Married,17,Policy Holder,Sedan - Collision,Sport,20000 to 29000,73396,4,500,3,8 to 15,8 to 15,more than 4,4 years,16 to 17,No,Yes,Internal,3 to 5,under 6 months,1 vehicle,Collision
Sep,Nisson,Urban,Wednesday,Dec,2,Female,Single,80,Policy Holder,Utility - All Perils,Sedan,more than 69000,40357,2,700,1,1 to 7,15 to 30,more than 4,6 years,51 to 65,Yes,No,Internal,more than 5,4 to 8 years,1 vehicle,Collision
Oct,Chevrolet,Urban,Monday,Nov,2,Male,Widow,25,Third Party,Sedan - Collision,Sport,60000 to 69000,99637,3,700,3,1 to 7,none,2 to 4,3 years,31 to 35,Yes,Yes,Internal,more than 5,2 to 3 years,3 to 4,Liability
Nov,Mazda,Urban,Saturday,Dec,2,Female,Widow,67,Third Party,Sedan - All Perils,Sedan,40000 to 59000,95473,3,400,3,1 to 7,15 to 30,more than 4,5 years,41 to 50,Yes,No,Internal,1 to 2,2 to 3 years,2 vehicles,Collision
Dec,Accura,Urban,Friday,Dec,1,Male,Married,52,Third Party,Sport - Liability,Sport,more than 69000,89192,5,300,2,15 to 30,8 to 15,none,2 years,31 to 35,Yes,Yes,External,more than 5,4 to 8 years,3 to 4,Collision
Feb,Jaguar,Rural,Friday,Nov,4,Female,Single,38,Third Party,Sedan - Liability,Sedan,less than 20000,57972,6,700,4,more than 30,15 to 30,2 to 4,more than 7,21 to 25,Yes,Yes,External,none,4 to 8 years,2 vehicles,Collision
Jan,Pontiac,Rural,Thursday,Jun,3,Female,Widow,25,Policy Holder,Sedan - Collision,Sedan,60000 to 69000,28689,3,700,2,8 to 15,15 to 30,more than 4,4 years,41 to 50,Yes,Yes,Internal,1 to 2,2 to 3 years,5 to 8,Liability
Aug,Dodge,Rural,0,Jun,1,Male,Single,53,Policy Holder,Sedan - All Perils,Sedan,more than 69000,86095,1,700,3,more than 30,15 to 30,none,3 years,26 to 30,No,No,External,3 to 5,1 year,3 to 4,All Perils
Jun,Jaguar,Rural,Tuesday,Feb,1,Female,Single,55,Policy Holder,Sedan - Collision,Sport,less than 20000,32920,7,400,4,1 to 7,more than 30,2 to 4,5 years,21 to 25,Yes,No,External,3 to 5,1 year,more than 8,Collision
Feb,Honda,Urban,Monday,Mar,5,Male,Widow,63,Policy Holder,Sport - Collision,Utility,30000 to 39000,49018,2,300,3,8 to 15,none,2 to 4,5 years,31 to 35,Yes,No,External,1 to 2,under 6 months,more than 8,Collision
Jun,Dodge,Urban,Monday,Dec,2,Female,Single,47,Policy Holder,Sedan - Collision,Sedan,more than 69000,77195,8,400,1,8 to 15,15 to 30,none,6 years,26 to 30,No,No,Internal,more than 5,2 to 3 years,3 to 4,Liability
May,Ford,Urban,0,Dec,2,Female,Divorced,68,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,79994,2,400,1,1 to 7,15 to 30,more than 4,7 years,16 to 17,Yes,Yes,External,1 to 2,1 year,2 vehicles,All Perils
Oct,Chevrolet,Urban,0,Feb,4,Male,Widow,72,Policy Holder,Utility - Collision,Sport,less than 20000,57119,6,300,3,15 to 30,8 to 15,1,7 years,16 to 17,Yes,Yes,Internal,more than 5,4 to 8 years,1 vehicle,All Perils
Nov,Dodge,Urban,Sunday,Feb,2,Female,Married,65,Third Party,Utility - Liability,Sedan,less than 20000,98027,1,300,3,8 to 15,more than 30,more than 4,new,16 to 17,Yes,Yes,External,3 to 5,4 to 8 years,5 to 8,Liability
Dec,Jaguar,Urban,Saturday,Dec,3,Male,Divorced,57,Third Party,Sedan - Collision,Utility,30000 to 39000,16278,9,400,4,15 to 30,8 to 15,1,new,31 to 35,No,Yes,Internal,none,2 to 3 years,2 vehicles,Collision
Sep,BMW,Urban,0,Oct,3,Female,Widow,32,Third Party,Sport - Liability,Utility,more than 69000,69323,8,300,2,8 to 15,none,more than 4,6 years,18 to 20,No,No,External,none,2 to 3 years,1 vehicle,Collision
Jul,Mazda,Rural,Sunday,Mar,5,Male,Widow,79,Third Party,Utility - All Perils,Utility,60000 to 69000,77453,2,700,4,15 to 30,more than 30,1,5 years,21 to 25,Yes,No,Internal,1 to 2,1 year,2 vehicles,Collision
Jan,Saturn,Rural,Monday,Jul,2,Male,Single,45,Policy Holder,Sedan - Liability,Sedan,20000 to 29000,90314,6,300,1,none,more than 30,none,4 years,41 to 50,No,Yes,Internal,1 to 2,1 year,3 to 4,Liability
May,Mercury,Rural,Friday,Dec,2,Female,Married,29,Third Party,Utility - Collision,Sport,20000 to 29000,68987,4,500,2,more than 30,8 to 15,1,7 years,18 to 20,Yes,No,External,more than 5,under 6 months,3 to 4,Liability
Oct,Toyota,Urban,Sunday,Mar,5,Male,Divorced,65,Policy Holder,Sedan - Liability,Sedan,60000 to 69000,65960,1,700,2,15 to 30,more than 30,2 to 4,6 years,31 to 35,No,Yes,Internal,3 to 5,no change,1 vehicle,Liability
Sep,Mecedes,Rural,Saturday,Jan,1,Male,Single,28,Policy Holder,Sport - Collision,Utility,30000 to 39000,96627,3,700,1,none,15 to 30,more than 4,5 years,over 65,Yes,Yes,Internal,none,2 to 3 years,1 vehicle,Liability
Aug,Porche,Rural,Friday,Jul,1,Male,Single,17,Policy Holder,Sedan - All Perils,Utility,more than 69000,16343,6,700,2,1 to 7,none,more than 4,4 years,over 65,No,No,Internal,1 to 2,2 to 3 years,5 to 8,Liability
Nov,Ferrari,Urban,Saturday,Jun,3,Male,Married,56,Third Party,Utility - Collision,Utility,20000 to 29000,25064,6,300,2,none,8 to 15,2 to 4,new,16 to 17,No,Yes,External,more than 5,under 6 months,1 vehicle,Liability
Nov,Jaguar,Rural,Thursday,Jul,5,Male,Divorced,52,Third Party,Sport - Collision,Utility,60000 to 69000,10046,4,700,3,8 to 15,none,1,more than 7,51 to 65,Yes,No,Internal,1 to 2,4 to 8 years,more than 8,All Perils
Mar,Mercury,Urban,Friday,Dec,1,Female,Single,80,Policy Holder,Utility - Liability,Sedan,more than 69000,81353,1,300,4,none,15 to 30,2 to 4,5 years,16 to 17,No,Yes,External,more than 5,1 year,more than 8,All Perils
Apr,Mercury,Urban,Saturday,Jun,4,Male,Widow,62,Third Party,Sport - Liability,Sport,more than 69000,43561,7,500,3,none,15 to 30,more than 4,4 years,21 to 25,No,No,External,1 to 2,1 year,3 to 4,All Perils
Jul,BMW,Rural,Saturday,Mar,2,Female,Widow,21,Policy Holder,Sedan - Liability,Utility,40000 to 59000,98693,6,700,1,none,none,none,7 years,26 to 30,No,No,External,1 to 2,2 to 3 years,2 vehicles,All Perils
Jul,Accura,Urban,Saturday,Jun,1,Male,Married,31,Third Party,Sedan - All Perils,Utility,20000 to 29000,39196,8,500,2,more than 30,8 to 15,more than 4,6 years,41 to 50,Yes,Yes,Internal,none,1 year,5 to 8,Liability
Dec,Lexus,Rural,Tuesday,0,2,Female,Married,24,Policy Holder,Sedan - Collision,Sedan,more than 69000,46854,1,700,3,more than 30,8 to 15,more than 4,3 years,26 to 30,Yes,Yes,External,none,no change,1 vehicle,Collision
Aug,Toyota,Urban,Tuesday,Jan,3,Female,Widow,66,Third Party,Utility - All Perils,Sport,more than 69000,89881,4,700,4,1 to 7,more than 30,2 to 4,more than 7,31 to 35,Yes,No,Internal,more than 5,1 year,more than 8,Liability
Oct,VW,Urban,Sunday,Aug,5,Female,Married,64,Policy Holder,Utility - Collision,Sport,40000 to 59000,66908,9,300,1,1 to 7,none,more than 4,4 years,41 to 50,Yes,No,External,more than 5,no change,3 to 4,All Perils
Jun,Dodge,Urban,Tuesday,Dec,4,Female,Married,75,Third Party,Sport - Liability,Sport,30000 to 39000,75016,9,700,3,1 to 7,15 to 30,2 to 4,new,16 to 17,No,Yes,Internal,none,under 6 months,1 vehicle,All Perils
Jul,Mecedes,Urban,Tuesday,Dec,2,Male,Divorced,36,Policy Holder,Utility - Collision,Sport,60000 to 69000,53595,1,500,4,more than 30,more than 30,more than 4,more than 7,26 to 30,No,No,External,3 to 5,no change,1 vehicle,All Perils
Oct,Mecedes,Urban,Sunday,Jul,3,Male,Single,19,Third Party,Sedan - Collision,Sedan,40000 to 59000,25808,5,500,4,none,more than 30,1,7 years,18 to 20,Yes,No,External,3 to 5,2 to 3 years,2 vehicles,Collision
Sep,VW,Rural,Tuesday,Jan,4,Male,Widow,17,Policy Holder,Sport - Liability,Sport,less than 20000,16237,2,700,1,none,more than 30,none,6 years,18 to 20,Yes,No,Internal,1 to 2,2 to 3 years,5 to 8,All Perils
Jun,VW,Rural,Wednesday,Sep,4,Male,Single,42,Policy Holder,Sedan - Liability,Sedan,20000 to 29000,58093,2,500,4,more than 30,8 to 15,more than 4,6 years,over 65,Yes,Yes,Internal,1 to 2,4 to 8 years,more than 8,All Perils
Aug,Mercury,Urban,Thursday,Oct,5,Male,Married,61,Policy Holder,Sport - All Perils,Sport,60000 to 69000,28897,7,400,2,15 to 30,more than 30,2 to 4,4 years,21 to 25,No,No,Internal,more than 5,under 6 months,more than 8,Liability
Jun,Porche,Rural,Tuesday,Feb,1,Male,Divorced,63,Policy Holder,Sedan - Collision,Sport,60000 to 69000,21449,2,500,4,1 to 7,none,2 to 4,7 years,36 to 40,No,No,External,none,no change,3 to 4,All Perils
Dec,Mecedes,Rural,Friday,Sep,1,Male,Divorced,35,Third Party,Sedan - Collision,Sedan,less than 20000,54436,8,700,1,15 to 30,15 to 30,2 to 4,new,over 65,No,Yes,Internal,none,1 year,3 to 4,Liability
Jun,Mazda,Urban,Wednesday,May,2,Male,Divorced,43,Third Party,Utility - Collision,Sport,40000 to 59000,49589,4,400,1,1 to 7,more than 30,none,7 years,21 to 25,No,No,External,3 to 5,1 year,1 vehicle,Liability
Aug,Ford,Urban,0,May,1,Female,Married,48,Policy Holder,Utility - Liability,Sport,more than 69000,34235,5,500,4,1 to 7,more than 30,more than 4,7 years,36 to 40,Yes,No,Internal,none,1 year,1 vehicle,All Perils
Jan,Mercury,Urban,0,Jun,2,Female,Married,33,Third Party,Sedan - All Perils,Utility,less than 20000,22322,3,500,3,1 to 7,none,2 to 4,more than 7,36 to 40,Yes,Yes,External,1 to 2,no change,3 to 4,Collision
Aug,Pontiac,Rural,Wednesday,Oct,5,Male,Divorced,70,Third Party,Utility - All Perils,Sedan,60000 to 69000,49121,3,700,2,8 to 15,more than 30,1,5 years,16 to 17,No,Yes,Internal,3 to 5,4 to 8 years,3 to 4,Liability
Dec,Honda,Rural,Wednesday,Nov,1,Female,Single,26,Policy Holder,Utility - Liability,Utility,less than 20000,17611,9,400,3,15 to 30,8 to 15,more than 4,new,31 to 35,No,No,External,1 to 2,4 to 8 years,5 to 8,Liability
May,VW,Rural,Tuesday,Nov,2,Female,Divorced,41,Third Party,Sedan - All Perils,Sport,30000 to 39000,59635,8,400,4,none,more than 30,more than 4,7 years,26 to 30,Yes,Yes,Internal,1 to 2,no change,3 to 4,Collision
Sep,Ford,Rural,Monday,0,5,Male,Married,25,Third Party,Utility - Liability,Sport,30000 to 39000,66506,8,400,3,1 to 7,more than 30,more than 4,4 years,16 to 17,Yes,No,Internal,3 to 5,1 year,2 vehicles,Collision
Nov,Accura,Rural,Friday,Sep,4,Female,Widow,47,Policy Holder,Sport - Collision,Utility,40000 to 59000,54260,1,500,4,15 to 30,none,more than 4,4 years,over 65,Yes,No,External,3 to 5,2 to 3 years,2 vehicles,Collision
Apr,Saturn,Rural,0,Nov,3,Female,Divorced,68,Policy Holder,Utility - Liability,Sedan,less than 20000,15490,6,400,2,8 to 15,8 to 15,none,2 years,26 to 30,No,Yes,External,1 to 2,2 to 3 years,1 vehicle,Liability
Dec,VW,Rural,Wednesday,Nov,1,Male,Widow,60,Third Party,Utility - Liability,Sedan,60000 to 69000,50732,9,400,3,15 to 30,15 to 30,2 to 4,new,26 to 30,Yes,Yes,Internal,1 to 2,2 to 3 years,5 to 8,Collision
Apr,VW,Rural,Saturday,Nov,3,Male,Single,19,Third Party,Utility - All Perils,Sedan,30000 to 39000,40115,7,700,1,none,none,none,more than 7,18 to 20,No,No,Internal,3 to 5,1 year,more than 8,Liability
Jul,Nisson,Rural,Thursday,Apr,2,Female,Widow,29,Policy Holder,Utility - All Perils,Sedan,30000 to 39000,86946,3,500,3,none,8 to 15,none,2 years,16 to 17,No,No,Internal,3 to 5,4 to 8 years,1 vehicle,Collision
Apr,Porche,Rural,Friday,Apr,5,Male,Married,41,Third Party,Utility - All Perils,Sedan,20000 to 29000,20279,3,500,4,15 to 30,more than 30,1,new,26 to 30,Yes,No,External,3 to 5,1 year,3 to 4,All Perils
Nov,Accura,Rural,Friday,0,4,Female,Single,42,Third Party,Sport - Liability,Sedan,40000 to 59000,70573,6,400,2,1 to 7,none,more than 4,more than 7,26 to 30,Yes,Yes,Internal,1 to 2,no change,2 vehicles,All Perils
Mar,Accura,Rural,Thursday,Jan,5,Female,Divorced,60,Third Party,Utility - All Perils,Sport,30000 to 39000,64845,6,500,1,1 to 7,8 to 15,none,2 years,31 to 35,Yes,Yes,External,1 to 2,under 6 months,1 vehicle,Liability
Dec,Pontiac,Rural,Saturday,Oct,4,Male,Single,60,Third Party,Sport - Liability,Utility,more than 69000,86808,4,500,2,8 to 15,8 to 15,none,new,51 to 65,Yes,No,Internal,more than 5,1 year,2 vehicles,Liability
Feb,Porche,Urban,Monday,May,5,Female,Single,64,Third Party,Sport - All Perils,Sport,less than 20000,38546,2,500,1,more than 30,15 to 30,2 to 4,6 years,18 to 20,No,Yes,Internal,none,4 to 8 years,1 vehicle,Collision
Apr,Jaguar,Urban,0,0,5,Female,Widow,62,Third Party,Utility - All Perils,Sport,20000 to 29000,95180,1,500,4,none,more than 30,2 to 4,6 years,41 to 50,No,Yes,Internal,none,2 to 3 years,more than 8,Liability
Sep,Accura,Rural,Saturday,0,2,Female,Married,41,Third Party,Sedan - All Perils,Utility,20000 to 29000,71136,1,700,2,15 to 30,15 to 30,1,7 years,over 65,No,No,Internal,more than 5,no change,more than 8,All Perils
